,Non-hospitalised (no AD),Non-hospitalised (AD),Cohort,ICU,Deaths,Total (no AD),Total (AD)
0-12,"3823
(3318;4411)","20976
(6724;34725)","386
(84;694)","16
(6;29)","0
(0;0)","4224
(3627;4870)","21381
(7127;35293)"
12-18,"2217
(1923;2554)","11466
(3740;18950)","196
(43;353)","39
(15;64)","59
(19;94)","2511
(2175;2870)","11762
(4024;19384)"
18-25,"1701
(1462;1976)","8373
(2779;13802)","214
(48;387)","36
(14;60)","0
(0;0)","1951
(1650;2278)","8625
(3021;14094)"
25-35,"2994
(2578;3480)","13758
(4666;22563)","597
(134;1071)","88
(32;149)","370
(246;479)","4050
(3368;4749)","14817
(5716;23930)"
35-45,"3969
(3441;4582)","16645
(5811;27035)","810
(184;1443)","188
(71;305)","846
(575;1050)","5812
(4886;6795)","18494
(7768;29042)"
45-55,"3790
(3275;4392)","14245
(5163;22953)","1310
(313;2326)","432
(170;700)","2194
(1693;2702)","7726
(6489;9170)","18188
(8937;27058)"
55-65,"2142
(1831;2498)","7039
(2709;11160)","1170
(300;2078)","522
(214;830)","4422
(3715;5363)","8257
(6907;9548)","13158
(8527;17591)"
65-75,"780
(649;932)","2131
(888;3323)","1504
(418;2615)","776
(325;1254)","10722
(9413;11950)","13782
(12000;15686)","15135
(12609;17550)"
75-85,"191
(143;246)","401
(186;645)","1072
(355;1813)","340
(149;547)","12471
(11153;13722)","14074
(12526;15616)","14289
(12699;15937)"
85+,"105
(77;137)","157
(84;236)","404
(168;647)","28
(13;45)","5181
(4522;5680)","5718
(4990;6390)","5772
(5050;6452)"
Total,"21712
(18722;25203)","95193
(32829;155384)","7664
(2045;13320)","2465
(1023;3927)","36264
(32670;38930)","68105
(59741; 76516)","141622
(79227; 203925)"
