,Non-hospitalised (no AD),Non-hospitalised (AD),Cohort,ICU,Deaths,Total (no AD),Total (AD)
0-12,"3800
(3215;4440)","42297
(8564;73587)","840
(250;1461)","36
(13;61)","0
(0;0)","4676
(3776;5643)","43172
(9107;74543)"
12-18,"2205
(1867;2571)","21373
(4490;37035)","395
(117;683)","81
(32;130)","139
(56;234)","2820
(2328;3338)","21989
(4977;37661)"
18-25,"1689
(1415;1985)","14706
(3193;25469)","405
(121;699)","71
(28;112)","0
(0;0)","2164
(1736;2630)","15182
(3540;26019)"
25-35,"2974
(2497;3498)","22496
(5124;38774)","1049
(321;1819)","157
(65;257)","650
(379;914)","4830
(3857;5878)","24352
(6687;40900)"
35-45,"3944
(3339;4612)","25051
(6110;42679)","1298
(399;2239)","306
(125;487)","1470
(1053;2064)","7019
(5788;8388)","28129
(8654;45808)"
45-55,"3765
(3171;4420)","19690
(5243;33227)","1914
(617;3293)","636
(266;1019)","3466
(2485;4382)","9782
(8021;11502)","25717
(11003;39641)"
55-65,"2126
(1768;2520)","8951
(2629;14949)","1550
(514;2662)","720
(305;1159)","6276
(5246;7230)","10671
(9019;12430)","17506
(10895;23800)"
65-75,"774
(625;941)","2495
(849;4160)","1826
(654;3034)","979
(435;1521)","13372
(11339;15267)","16950
(14564;19380)","18686
(15471;21732)"
75-85,"189
(133;249)","434
(167;737)","1205
(486;1963)","393
(179;610)","14130
(12735;15943)","15918
(14234;18033)","16168
(14325;18139)"
85+,"104
(72;139)","161
(81;252)","421
(203;659)","29
(15;48)","5575
(4947;6333)","6129
(5473;6813)","6186
(5539;6906)"
Total,"21570
(18116;25363)","157655
(36497;270647)","10903
(3699;18447)","3408
(1489;5189)","45078
(41370;50139)","80959
(70569; 92647)","217088
(94801; 333931)"
